Sumber Penerimaan - Keuangan,,,
,Realisasi Pendapatan Negara (Milyar Rupiah),,
,2016,2017,2018
I. Penerimaan,1546946.6,1654746.1,1928110
Penerimaan Perpajakan,1284970.1,1343529.8,1518789.8
 Pajak Dalam Negeri,1249499.5,1304316.3,1472908
  Pajak Penghasilan,666212.4,646793.5,749977
  Pajak Pertambahan Nilai dan dan Pajak Penjualan atas Barang Mewah,412213.5,480724.6,537267.9
  Pajak Bumi dan Bangunan,19443.2,16770.3,19444.9
  Bea Perolehan Hak atas Tanah dan Bangunan,0.5,1.2,0
  Cukai,143525,153288.1,159588.6
  Pajak Lainnya,8104.9,6738.5,6629.5
 Pajak Perdagangan Internasional,35470.7,39213.6,45881.8
  Bea Masuk,32472.1,35066.2,39116.7
  Pajak Ekspor,2998.6,4147.4,6765.1
Penerimaan Bukan Pajak,261976.3,311216.3,409320.2
 Penerimaan Sumber Daya Alam,64901.9,111132,180592.6
 Pendapatan dari Kekayaan Negara yang Dipisahkan,37133.2,43904.2,45060.5
 Penerimaan Bukan Pajak Lainnya,117995.4,108834.6,128574
 Pendapatan Badan Layanan Umum,41945.9,47345.5,55093.1
II. Hibah,8987.7,11629.8,15564.9
Jumlah,1555934.2,1666375.9,1943674.9